"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Reconcile account","","17-08-2026","Transfer : Viv's Paycheck (TD)","","","","repayment from Koinoina",786.50$,0.00$,"Uncleared"
"WS Joint Checking account 2","","17-08-2026","Transfer : Timmy's TFSA","Savings: House","Savings","House","",256.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","17-08-2026","World Vision","Tax Deductible: God's Money","Tax Deductible","God's Money","",88.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","17-08-2026","TORONTO EAST HO","Cumulative: Home Improvement","Cumulative","Home Improvement","",64.36$,0.00$,"Reconciled"
"BBC Visa","","17-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","RECEIPT BK US TA DEXT WWW.DEXT.COM, DC",39.50$,0.00$,"Cleared"
"Viv's Credit Card (TG)","","17-08-2026","VALUE VILLAGE # 2040 TORONTO ON","Cumulative: Books & Education","Cumulative","Books & Education","VALUE VILLAGE # 2040 TORONTO ON",10.89$,0.00$,"Cleared"
"Timmy's TFSA","","17-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,256.00$,"Cleared"
"Viv's Paycheck (TD)","","17-08-2026","Transfer : Reconcile account","","","","repayment from Koinoina",0.00$,786.50$,"Reconciled"
"WS Credit Card","","16-08-2026","No Frills","Monthly: Groceries","Monthly","Groceries","",202.53$,0.00$,"Reconciled"
"WS Credit Card","","16-08-2026","Oxio Ca","Monthly: Internet","Monthly","Internet","",89.27$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","15-08-2026","PRESTO AUTO/SG6LFB9STM TORONTO O","Cumulative: Public Transportation","Cumulative","Public Transportation","PRESTO AUTO/SG6LFB9STM TORONTO ON",20.00$,0.00$,"Cleared"
"Reconcile account","","14-08-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Uncleared"
"WS Credit Card","","14-08-2026","No Frills","Monthly: Groceries","Monthly","Groceries","",82.21$,0.00$,"Reconciled"
"WS Credit Card","","14-08-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",50.00$,0.00$,"Reconciled"
"Reconcile account","","14-08-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Uncleared"
"Tim's Pension","","14-08-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"WS Joint Checking account 2","","12-08-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",56.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","12-08-2026","Transfer : Timmy's TFSA","Savings: House","Savings","House","",26.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","12-08-2026","Credit Card Rewards Redemption","Inflow: Ready to Assign","Inflow","Ready to Assign","Credit Card Rewards Redemption",0.00$,2.74$,"Cleared"
"Timmy's TFSA","","12-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,26.00$,"Cleared"
"Viv's TFSA","","12-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,56.00$,"Uncleared"
"WS Joint Checking account 2","","12-08-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2003.59$,"Reconciled"
"WS Joint Checking account 2","","11-08-2026","Transfer : Everyday Checking (TG)","","","","",800.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","11-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,800.00$,"Reconciled"
"Everyday Checking (TG)","","10-08-2026","Transfer : Viv's Credit Card (TG)","","","","EFT Tangerine Credit Card Payment to TANGERINE CCRD",1438.33$,0.00$,"Reconciled"
"WS Credit Card","","10-08-2026","Esso","Cumulative: Car","Cumulative","Car","",56.65$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","10-08-2026","Transfer : Everyday Checking (TG)","","","","EFT Tangerine Credit Card Payment to TANGERINE CCRD",0.00$,1438.33$,"Cleared"
"WS Credit Card","","09-08-2026","Economical Insurance","Cumulative: Car","Cumulative","Car","",188.32$,0.00$,"Reconciled"
"WS Credit Card","","09-08-2026","FreshCo","Monthly: Groceries","Monthly","Groceries","",51.31$,0.00$,"Reconciled"
"Everyday Checking (TG)","","09-08-2026","INTERAC e-Transfer To: Darcy Martin","Monthly: Groceries","Monthly","Groceries","reimbursing Chris for Koinonia groceries",30.00$,0.00$,"Reconciled"
"Amroth Equity","","08-08-2026","","","","","Mortgage Principal Payment",0.00$,924.39$,"Reconciled"
"WS Credit Card","","07-08-2026","Fido","Monthly: Cellphone","Monthly","Cellphone","",52.01$,0.00$,"Reconciled"
"WS Credit Card","","06-08-2026","Georgian Bay Whole Foods","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","Viv's back cream",37.52$,0.00$,"Reconciled"
"WS Credit Card","","06-08-2026","Bearly Used Books","Cumulative: Books & Education","Cumulative","Books & Education","",17.75$,0.00$,"Reconciled"
"Everyday Checking (TG)","","05-08-2026","EFT Withdrawal to EMP LIFE","Monthly: Life Insurance","Monthly","Life Insurance","EFT Withdrawal to EMP LIFE",48.83$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","05-08-2026","Viv EI","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,852.00$,"Reconciled"
"Viv's Paycheck (TD)","","04-08-2026","UL524 TFR-TO 6466454","Monthly: Amroth House","Monthly","Amroth House","",3759.81$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","04-08-2026","Transfer : Amroth Equity","Savings: House","Savings","House","",500.00$,0.00$,"Reconciled"
"WS Credit Card","","04-08-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",100.00$,0.00$,"Reconciled"
"WS Credit Card","","04-08-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",100.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","04-08-2026","EFT Withdrawal to INTER-VARSITY","Tax Deductible: God's Money","Tax Deductible","God's Money","EFT Withdrawal to INTER-VARSITY",50.00$,0.00$,"Reconciled"
"Amroth Equity","","04-08-2026","Transfer : Viv's Paycheck (TD)","","","","",0.00$,500.00$,"Reconciled"
"WS Joint Checking account 2","","03-08-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",500.00$,0.00$,"Reconciled"
"WS Credit Card","","03-08-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",150.00$,0.00$,"Reconciled"
"Viv's TFSA","","03-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,500.00$,"Uncleared"
"WS Credit Card","","01-08-2026","Ultramar","Cumulative: Car","Cumulative","Car","gas",80.61$,0.00$,"Reconciled"
"WS Credit Card","","01-08-2026","Subway","Cumulative: Travel","Cumulative","Travel","meal",28.91$,0.00$,"Reconciled"
"WS Credit Card","","01-08-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","wood to fix shed",22.79$,0.00$,"Reconciled"
"BBC Visa","","01-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Google",22.00$,0.00$,"Reconciled"
"WS Credit Card","","01-08-2026","Tim Hortons","Cumulative: Travel","Cumulative","Travel","",6.70$,0.00$,"Reconciled"
"BBC Visa","","01-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","AWS",0.80$,0.00$,"Reconciled"
"WS Joint Checking account 2","","01-08-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,18.03$,"Reconciled"
"BBC Chequing","","31-07-2026","Transfer : WS Joint Checking account 2","","","","",1000.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","31-07-2026","Transfer : WS Credit Card","","","","",857.83$,0.00$,"Reconciled"
"BBC Chequing","","31-07-2026","Transfer : BBC Visa","","","","",490.98$,0.00$,"Reconciled"
"Reconcile account","","31-07-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Uncleared"
"Viv's Paycheck (TD)","","31-07-2026","","Cumulative: Fees","Cumulative","Fees","MONTHLY ACCOUNT FEE",11.95$,0.00$,"Reconciled"
"BBC Chequing","","31-07-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","fee",4.02$,0.00$,"Reconciled"
"Everyday Checking (TG)","","31-07-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.01$,"Reconciled"
"Viv's Paycheck (TD)","","31-07-2026","","Cumulative: Fees","Cumulative","Fees","ACCT BAL REBATE",0.00$,11.95$,"Reconciled"
"Reconcile account","","31-07-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Uncleared"
"Tim's Pension","","31-07-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"BBC Visa","","31-07-2026","Transfer : BBC Chequing","","","","",0.00$,490.98$,"Reconciled"
"WS Credit Card","","31-07-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,857.83$,"Reconciled"
"WS Joint Checking account 2","","31-07-2026","Transfer : BBC Chequing","","","","",0.00$,1000.00$,"Reconciled"
"Viv's Paycheck (TD)","","31-07-2026","CHURCH OF THE R PAY","Inflow: Ready to Assign","Inflow","Ready to Assign","CHURCH OF THE R  PAY",0.00$,1361.36$,"Reconciled"
"Reconcile account","","30-07-2026","Transfer : Viv's Pension","Savings: Retirement","Savings","Retirement","Pension Transfer",291.75$,0.00$,"Uncleared"
"BBC Visa","","30-07-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","QBO",221.60$,0.00$,"Reconciled"
"WS Credit Card","","30-07-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",30.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","30-07-2026","PRESTO AUTO/SC2SP76GQC TORONTO O","Cumulative: Public Transportation","Cumulative","Public Transportation","Rewards earned: 0.10 ~ Category: Parking",20.00$,0.00$,"Uncleared"
"WS Credit Card","","30-07-2026","Bike Share Toronto","Cumulative: Bike","Cumulative","Bike","",3.03$,0.00$,"Reconciled"
"BBC Chequing","","30-07-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","PDM",0.00$,129.95$,"Reconciled"
"Viv's Pension","","30-07-2026","Transfer : Reconcile account","","","","Pension Transfer",0.00$,291.75$,"Uncleared"
"Reconcile account","","30-07-2026","Vivian Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,291.75$,"Uncleared"
"BBC Chequing","","30-07-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","ASD",0.00$,1581.29$,"Reconciled"
"WS Credit Card","","29-07-2026","Don Valley Auto Centre","Cumulative: Car","Cumulative","Car","fixing solenoid",460.90$,0.00$,"Reconciled"
"Everyday Checking (TG)","","29-07-2026","Cheque Withdrawal - 005","Cumulative: Weddings","Cumulative","Weddings","gift to Julia and Jackson",100.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","29-07-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2003.59$,"Reconciled"
"WS Joint Checking account 2","","28-07-2026","Transfer : Reconcile account","","","","accidental double pay",786.50$,0.00$,"Reconciled"
"WS Credit Card","","28-07-2026","Instacart","Monthly: Groceries","Monthly","Groceries","",66.60$,0.00$,"Reconciled"
"WS Credit Card","","28-07-2026","Value Village","Cumulative: Home Improvement","Cumulative","Home Improvement","",45.19$,0.00$,"Reconciled"
"WS Credit Card","","28-07-2026","Instacart","Monthly: Groceries","Monthly","Groceries","",3.26$,0.00$,"Reconciled"
"Reconcile account","","28-07-2026","Transfer : WS Joint Checking account 2","","","","accidental double pay",0.00$,786.50$,"Uncleared"
"BBC Chequing","","27-07-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Natalie",280.00$,0.00$,"Reconciled"
"WS Credit Card","","27-07-2026","Instacart","Monthly: Groceries","Monthly","Groceries","",199.30$,0.00$,"Reconciled"
"WS Joint Checking account 2","","26-07-2026","Transfer : RESP","Savings: RESP","Savings","RESP","",100.00$,0.00$,"Reconciled"
"WS Credit Card","","26-07-2026","Vm","Monthly: Groceries","Monthly","Groceries","",26.76$,0.00$,"Reconciled"
"RESP","","26-07-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,100.00$,"Uncleared"
"WS Joint Checking account 2","","25-07-2026","Transfer : WS Credit Card","","","","",1783.89$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","25-07-2026","Value Village","Cumulative: Books & Education","Cumulative","Books & Education","books",23.16$,0.00$,"Uncleared"
"Viv's Credit Card (TG)","","25-07-2026","Value Village","Cumulative: Home Improvement","Cumulative","Home Improvement","toy chest",14.45$,0.00$,"Uncleared"
"WS Joint Checking account 2","","25-07-2026","Daycare","Monthly: Daycare","Monthly","Daycare","",0.00$,478.50$,"Reconciled"
"WS Credit Card","","25-07-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,1783.89$,"Reconciled"
"WS Credit Card","","24-07-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",60.00$,0.00$,"Reconciled"
"WS Credit Card","","24-07-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",50.00$,0.00$,"Reconciled"
"WS Credit Card","","24-07-2026","wealthsimple","Cumulative: Fees","Cumulative","Fees","CC fee",20.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","24-07-2026","Value Village","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.03 ~ Category: Other",5.24$,0.00$,"Uncleared"
"Viv's Credit Card (TG)","","23-07-2026","NOFRILLS ROCCA'S #3931 TORONTO O","Monthly: Groceries","Monthly","Groceries","Rewards earned: 1.34 ~ Category: Groceries",66.96$,0.00$,"Uncleared"
"Viv's Credit Card (TG)","","23-07-2026","SHOPPERS DRUG MART #05 TORONTO O","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","Rewards earned: 0.71 ~ Category: Drug Store",35.57$,0.00$,"Uncleared"
"WS Joint Checking account 2","","22-07-2026","Transfer : Everyday Checking (TG)","","","","",600.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","22-07-2026","Transfer : BBC Chequing","","","","",435.00$,0.00$,"Reconciled"
"WS Credit Card","","22-07-2026","Vm 7975","Monthly: Groceries","Monthly","Groceries","",25.78$,0.00$,"Reconciled"
"WS Joint Checking account 2","","22-07-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",6.00$,0.00$,"Reconciled"
"Viv's TFSA","","22-07-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,6.00$,"Uncleared"
"BBC Chequing","","22-07-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,435.00$,"Reconciled"
